name,concentration,pharmaceutical_form,pharmaceutical_short_form,presentation
AB-BRONCOL NF 300,250 mg + 50 mg,Polvo para Suspensión Inyectable,INYECTABLE,Caja Vial + 1 Ampolla x 3 mL
ACIDO FUSIDICO,2 %,Crema,CREMA,Caja Tubo x 15 g
ALERCET D,5 mg/ 60 mg,Jarabe,SOLUCION,Caja Frasco x 60 mL + accesorio
ALERFAST D,5 mg + 60 mg,Solución Oral,SOLUCION,Caja Frasco x 60 mL + accesorio
ALERFORT,2.5 mg/5 mL,Solución Oral,SOLUCION,Caja Frasco x 60 mL + Accesorio
APROFLAM,550 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tableta Recubierta
ATORVASTATINA,20 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
BENODET,15 mg + 4 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
BIO-CISTENID,500 mg,Comprimido Recubierto,TABLETA,Caja Envase Blister Comprimidos
CEFSTALIP,500 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas
CEFTRIAXONA,1 g,Polvo para Solución Inyectable,INYECTABLE,Caja Vial
CLUVAX,100 mg/132 mg,Cápsula Blanda Vaginal,CAPSULA,Caja Envase Blíster Cápsulas Blandas Vaginales
DANUVIR,300 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tabletas Recubiertas
DEQUAZOL R,500 mg + 100 000 UI + 7 mg,Ovulo,OVULO,Caja Envase Tiras Óvulos
EQUALAX,5 mg,Tableta Recubierta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas Recubiertas
FLAVOSEX 200,200 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
FLIXOTIDE,125 ug/dosis,Suspensión para Inhalación en envase a presión,AEROSOL,Caja Frasco x 60 dosis
FLUTITEROL 125 PLUS,125 mcg + 25 mcg,Suspensión para Inhalación en envase a presión,AEROSOL,Caja Envase Aerosol x 120 dosis
HISALER®,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL + accesorio
ICADEN,1 %,Crema,CREMA,Caja Tubo x 20 g
ITRACOPHARM,100 mg,Cápsula,CAPSULA,Caja Envase Blíster Cápsulas
LIDOCAINA,5 %,Ungüento,UNGUENTO,Caja Tubo x 10 g
LIDOCAINA 2% CON EPINEFRINA 1:200 000 S/P,2 %,Solución Inyectable,INYECTABLE,Caja Vial x 20 mL
LOPERAMIDA,2 mg,Tableta,TABLETA,Caja Envase Blister Tableta
LORATADINA,5 mg/5 mL,Jarabe,SOLUCION,Caja Frasco x 60 mL
MUVETT,300 mg,Tableta de Liberación Prolongada,TABLETA,Caja Envase Blister Tabletas de Liberación Prolongada
MYCLOR,2 mg + 0.03 mg,Tableta Recubierta,TABLETA,Caja Envase Blister Tableta Recubierta
MYCTRIM BALSAMICO,200 mg + 40 mg + 50 mg/ 5 mL,Suspensión Oral,SUSPENSION,Caja Frasco x 60 mL
NASTIFLU,,Tableta,TABLETA,Caja Envase Blister Tableta
N-BUTIL BROMURO DE HIOSCINA,20 mg/1 mL,Solución Inyectable,INYECTABLE,Caja Ampolla
NOVALGEZE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
ONDANSETRON,8 mg/4 mL,Solución Inyectable,INYECTABLE,Caja Vial x 4 mL
PEDEA,5 mg/mL,Solución Inyectable,INYECTABLE,Caja Ampolla x 4 mL
PRIORIX,,Polvo para Solución Inyectable,INYECTABLE,Caja Jeringa prellenada + Vial + 2 Accesorio
Q-DOLESE,10 mg,Tableta Recubierta,TABLETA,Caja Envase Blíster Tabletas Recubiertas
REPRIMAN,400 mg/ mL,Solución Oral,SOLUCION,Caja Frasco Gotero x 10 mL
SUCRALFLAM,1g/5 mL,Suspensión Oral,SUSPENSION,Frasco x 180 mL + Accesorio
ULCEALIV,20 mg,Cápsula de Liberación Retardada,CAPSULA,Caja Envase Blister Capsulas
VITHOCREM-3,1 g + 0.1 g + 0.05 g,Crema,CREMA,Tubo x 10g
ZETIX-D,5 mg + 120 mg,Cápsula,CAPSULA,Caja Envase Blister Cápsula
SALES DE REHIDRATACION ORAL,2.5 g + 1.5 g + 2.9 g + 13.5 g,Polvo para Solución Oral,SOLUCION,Caja Sobre x 20.5 g
3A OFTENO,0.1 %,Solución Oftálmica,SOLUCION OFTALMICA,Caja Frasco gotero x 5 mL
